2019-01-09 04:40:03,"b'Dear Uber,\n\nI booked a pool this morning the driver didnt pick me up and started the trip and denied to cancel as w\xe2\x80\xa6 https://t.co/wejxnAuMAB'"
2019-01-09 04:12:08,"b""@Uber_Support @Uber_Mumbai @Uber What is wrong with the app...it's been painfully slow since morning, I couldn't bo\xe2\x80\xa6 https://t.co/g3qMCa9i88"""
2019-01-09 03:08:42,b'@Uber @Uber_Support @Uber_Mumbai Plzz have a courtesy to reply Uber support team ...'
2019-01-09 03:07:25,b'@Uber @Uber_Support @Uber_Mumbai Missed my flight most importantly...serious point of bother using such app which i\xe2\x80\xa6 https://t.co/F2H3ZQGb7H'
2019-01-09 03:05:26,b'@Uber @Uber_Support @Uber_Mumbai  Faced a serious issue in Uber app..did so much R and D but unable to processed my\xe2\x80\xa6 https://t.co/QM75juJCjX'
2019-01-09 02:37:28,b'@Uber_Mumbai @Uber_Support The ride pass option has disappeared after I changed my phone. How can I get it back?'
2019-01-09 01:38:59,b'@UberINSupport @Uber_Mumbai @amitjain1 @imVkohli Gone are the days when i proudly called myself an Uber Partner. In\xe2\x80\xa6 https://t.co/c97oD1R3vW'
2019-01-08 19:07:02,b'Some Frauder Screenshots who are booking unlimited free uber rides using yatra app and paytm as a payment options.\xe2\x80\xa6 https://t.co/Y4h1xqVC3Y'
2019-01-08 19:04:48,b'@gauravgjain @Uber_Mumbai Hahahhaa! They are sending drivers a message.'
2019-01-08 17:42:31,"b"".@Uber_Mumbai can't access my Uber account. Please help."""
2019-01-08 17:30:34,b'@bachikarkaria @mumbai_diary @Uber_Mumbai Absolutely.. agreed.'
2019-01-08 17:16:31,b'@bachikarkaria @reshii @Uber_Mumbai You don\xe2\x80\x99t really have to pay. It gets credited  immediately back to your accoun\xe2\x80\xa6 https://t.co/JCou36a9ds'
2019-01-08 15:11:33,b'@bachikarkaria @rajeshlalwani @Uber_Mumbai You can always stop using the app and start using the yellow-black taxis\xe2\x80\xa6 https://t.co/E8NPt0zSWi'
2019-01-08 09:56:20,b'Hey @Uber_Mumbai I got an option to use Uber pass for 45 days but I never got an option to renew it. What can I do?'
2019-01-08 09:33:06,b'@Uber_Support @UberEats @UberEats_IND ..I have no promocode from last one month.. Can u suggest me some.. I m not n\xe2\x80\xa6 https://t.co/u3S53i9JCj'
2019-01-08 09:08:22,b'@gauravgjain @Uber_Mumbai Ah ok just kidding'
2019-01-08 08:54:21,b'@clockroots @Uber_Mumbai I don\xe2\x80\x99t think we need visas.. they do'
